MediaId, Media Name, Description, Tags, Duration (seconds),Created At, State, Remark,Positive Sentiment (1-100%),Negative Sentiment (1-100%),Neutral Sentiment (1-100%), Summary,Sentence Id, Speaker Name, Sentence Start Time, Sentence End Time, Sentence Duration, Sentence, Sentence Sentiment,Insight Type, Insight Category, Insight, Insight Starts At,Insight Ends At, Insight Duration (seconds)
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,1,,,,,3,Civil War. ,-0.5994,,,,,
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,2,,,,,3,2018 2023. ,0,Default Category,Cardinals,2,,
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,2,,,,,3,2018 2023. ,0,Default Category,Cardinals,1,,
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,2,,,,,3,2018 2023. ,0,Default Category,Cardinals,23,,
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,2,,,,,3,2018 2023. ,0,Default Category,Cardinals,18,,
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,2,,,,,3,2018 2023. ,0,Default Category,Cardinals,20,,
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,2,,,,,3,2018 2023. ,0,Default Category,Dates,2023,,
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,2,,,,,3,2018 2023. ,0,Default Category,Dates,18 2023,,
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,2,,,,,3,2018 2023. ,0,Default Category,Dates,23,,
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,3,,,,,4,Sir Hrishi Mukherjee. ,0,Default Category,Geopolitical,Hrishi,,
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,3,,,,,4,Sir Hrishi Mukherjee. ,0,Keywords,Keywords,Hrishi,,
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,3,,,,,4,Sir Hrishi Mukherjee. ,0,Default Category,People,Hrishi Mukherjee,,
fa86a7434c56,October 11 2023 Civil War,,,,2023-12-06T00:46:21.603Z,processed,,21.8,15.4,62.9,,3,,,,,4,Sir Hrishi Mukherjee. ,0,Default Category,People,Mukherjee,,
